"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.4.113","192.168.4.1","DNS","78","Standard query 0x8a1e A capi.grammarly.com"
"2","0.004042","192.168.4.1","192.168.4.113","DNS","206","Standard query response 0x8a1e A capi.grammarly.com A 54.210.124.124 A 52.207.160.114 A 3.232.12.1 A 52.5.62.219 A 34.232.27.103 A 35.172.249.209 A 3.213.27.86 A 44.215.185.198"
"3","0.014722","192.168.4.113","54.210.124.124","TCP","66","56183  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"4","0.322784","54.210.124.124","192.168.4.113","TCP","66","443  >  56183 [SYN, ACK] Seq=0 Ack=1 Win=26883 Len=0 MSS=1440 SACK_PERM WS=256"
"5","0.322937","192.168.4.113","54.210.124.124","TCP","54","56183  >  443 [ACK] Seq=1 Ack=1 Win=132352 Len=0"
"6","0.323860","192.168.4.113","54.210.124.124","TLSv1.2","365","Client Hello (SNI=capi.grammarly.com)"
"7","0.630234","54.210.124.124","192.168.4.113","TCP","54","443  >  56183 [ACK] Seq=1 Ack=312 Win=28160 Len=0"
"8","0.630234","54.210.124.124","192.168.4.113","TLSv1.2","1494","Server Hello"
"9","0.630234","54.210.124.124","192.168.4.113","TCP","1494","443  >  56183 [ACK] Seq=1441 Ack=312 Win=28160 Len=1440 [TCP segment of a reassembled PDU]"
"10","0.630382","192.168.4.113","54.210.124.124","TCP","54","56183  >  443 [ACK] Seq=312 Ack=2881 Win=132352 Len=0"
"11","0.630560","54.210.124.124","192.168.4.113","TCP","1494","443  >  56183 [ACK] Seq=2881 Ack=312 Win=28160 Len=1440 [TCP segment of a reassembled PDU]"
"12","0.630560","54.210.124.124","192.168.4.113","TLSv1.2","1167","Certificate, Server Key Exchange, Server Hello Done"
"13","0.630667","192.168.4.113","54.210.124.124","TCP","54","56183  >  443 [ACK] Seq=312 Ack=5434 Win=132352 Len=0"
"14","0.649275","192.168.4.113","54.210.124.124","TLSv1.2","180","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"15","0.937687","54.210.124.124","192.168.4.113","TCP","54","443  >  56183 [ACK] Seq=5434 Ack=438 Win=28160 Len=0"
"16","0.937687","54.210.124.124","192.168.4.113","TLSv1.2","225","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
"17","0.951858","192.168.4.113","54.210.124.124","TLSv1.2","1443","Application Data"
"18","1.244595","54.210.124.124","192.168.4.113","TLSv1.2","1164","Application Data"
"19","1.268883","192.168.4.113","54.210.124.124","TLSv1.2","796","Application Data"
"20","1.349119","192.168.4.113","192.168.4.1","DNS","78","Standard query 0x3330 A gnar.grammarly.com"
"21","1.352405","192.168.4.1","192.168.4.113","DNS","206","Standard query response 0x3330 A gnar.grammarly.com A 44.209.51.97 A 34.239.230.199 A 54.92.197.120 A 52.2.233.171 A 44.199.104.227 A 50.16.217.34 A 3.209.147.228 A 3.223.77.234"
"22","1.353744","192.168.4.113","44.209.51.97","TCP","66","56184  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"23","1.551349","54.210.124.124","192.168.4.113","TLSv1.2","379","Application Data"
"24","1.570335","44.209.51.97","192.168.4.113","TCP","66","443  >  56184 [SYN, ACK] Seq=0 Ack=1 Win=26883 Len=0 MSS=1440 SACK_PERM WS=256"
"25","1.570545","192.168.4.113","44.209.51.97","TCP","54","56184  >  443 [ACK] Seq=1 Ack=1 Win=132352 Len=0"
"26","1.571463","192.168.4.113","44.209.51.97","TLSv1.2","365","Client Hello (SNI=gnar.grammarly.com)"
"27","1.596177","192.168.4.113","54.210.124.124","TCP","54","56183  >  443 [ACK] Seq=2569 Ack=7040 Win=132352 Len=0"
"28","1.863413","44.209.51.97","192.168.4.113","TCP","54","443  >  56184 [ACK] Seq=1 Ack=312 Win=28160 Len=0"
"29","1.863413","44.209.51.97","192.168.4.113","TLSv1.2","1494","Server Hello"
"30","1.863413","44.209.51.97","192.168.4.113","TCP","1494","443  >  56184 [ACK] Seq=1441 Ack=312 Win=28160 Len=1440 [TCP segment of a reassembled PDU]"
"31","1.863413","44.209.51.97","192.168.4.113","TCP","1494","443  >  56184 [ACK] Seq=2881 Ack=312 Win=28160 Len=1440 [TCP segment of a reassembled PDU]"
"32","1.863413","44.209.51.97","192.168.4.113","TLSv1.2","1144","Certificate, Server Key Exchange, Server Hello Done"
"33","1.863622","192.168.4.113","44.209.51.97","TCP","54","56184  >  443 [ACK] Seq=312 Ack=5411 Win=132352 Len=0"
"34","1.878532","192.168.4.113","44.209.51.97","TLSv1.2","180","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"35","2.000079","192.168.4.113","142.250.195.74","UDP","71","63503  >  443 Len=29"
"36","2.011391","142.250.195.74","192.168.4.113","UDP","68","443  >  63503 Len=26"
"37","2.088068","192.168.4.1","224.0.0.1","IGMPv2","46","Membership Query, general"
"38","2.093891","44.209.51.97","192.168.4.113","TCP","54","443  >  56184 [ACK] Seq=5411 Ack=438 Win=28160 Len=0"
"39","2.093891","44.209.51.97","192.168.4.113","TLSv1.2","225","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
"40","2.106563","192.168.4.113","44.209.51.97","TLSv1.2","388","Application Data"
"41","2.108518","192.168.4.113","224.0.0.252","IGMPv2","46","Membership Report group 224.0.0.252"
"42","2.108659","192.168.4.113","224.0.0.251","IGMPv2","46","Membership Report group 224.0.0.251"
"43","2.108742","192.168.4.113","239.255.255.250","IGMPv2","46","Membership Report group 239.255.255.250"
"44","2.200652","192.168.4.101","224.0.0.251","IGMPv2","46","Membership Report group 224.0.0.251"
"45","2.374904","44.209.51.97","192.168.4.113","TLSv1.2","108","Application Data"
"46","2.375305","192.168.4.113","44.209.51.97","TLSv1.2","1020","Application Data"
"47","2.678292","44.209.51.97","192.168.4.113","TCP","54","443  >  56184 [ACK] Seq=5636 Ack=1738 Win=30976 Len=0"
"48","2.883036","44.209.51.97","192.168.4.113","TLSv1.2","512","Application Data"
"49","2.934830","192.168.4.113","44.209.51.97","TCP","54","56184  >  443 [ACK] Seq=1738 Ack=6094 Win=131584 Len=0"
"50","4.640210","192.168.4.113","106.51.42.35","TCP","54","55832  >  443 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"51","6.262433","142.250.77.138","192.168.4.113","TLSv1.2","123","Application Data"
"52","6.311367","192.168.4.113","142.250.77.138","TCP","54","54688  >  443 [ACK] Seq=1 Ack=70 Win=511 Len=0"
"53","6.382469","192.168.4.113","192.168.4.1","DNS","96","Standard query 0x43b3 A win-extension.femetrics.grammarly.io"
"54","6.385308","192.168.4.1","192.168.4.113","DNS","192","Standard query response 0x43b3 A win-extension.femetrics.grammarly.io A 3.219.151.71 A 44.195.193.2 A 3.225.74.6 A 3.232.146.13 A 34.200.66.81 A 3.208.42.254"
"55","6.386117","192.168.4.113","3.219.151.71","TCP","66","56185  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"56","6.675219","3.219.151.71","192.168.4.113","TCP","66","443  >  56185 [SYN, ACK] Seq=0 Ack=1 Win=26883 Len=0 MSS=1440 SACK_PERM WS=256"
"57","6.675369","192.168.4.113","3.219.151.71","TCP","54","56185  >  443 [ACK] Seq=1 Ack=1 Win=132352 Len=0"
"58","6.676101","192.168.4.113","3.219.151.71","TLSv1.2","383","Client Hello (SNI=win-extension.femetrics.grammarly.io)"
"59","6.979287","3.219.151.71","192.168.4.113","TCP","54","443  >  56185 [ACK] Seq=1 Ack=330 Win=28160 Len=0"
"60","6.979287","3.219.151.71","192.168.4.113","TLSv1.2","1494","Server Hello"
"61","6.979287","3.219.151.71","192.168.4.113","TCP","1494","443  >  56185 [ACK] Seq=1441 Ack=330 Win=28160 Len=1440 [TCP segment of a reassembled PDU]"
"62","6.979425","192.168.4.113","3.219.151.71","TCP","54","56185  >  443 [ACK] Seq=330 Ack=2881 Win=132352 Len=0"
"63","6.980106","3.219.151.71","192.168.4.113","TCP","1494","443  >  56185 [ACK] Seq=2881 Ack=330 Win=28160 Len=1440 [TCP segment of a reassembled PDU]"
"64","6.980106","3.219.151.71","192.168.4.113","TLSv1.2","1176","Certificate, Server Key Exchange, Server Hello Done"
"65","6.980238","192.168.4.113","3.219.151.71","TCP","54","56185  >  443 [ACK] Seq=330 Ack=5443 Win=132352 Len=0"
"66","6.995919","192.168.4.113","3.219.151.71","TLSv1.2","180","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"67","7.286393","3.219.151.71","192.168.4.113","TCP","54","443  >  56185 [ACK] Seq=5443 Ack=456 Win=28160 Len=0"
"68","7.286393","3.219.151.71","192.168.4.113","TLSv1.2","225","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
"69","7.286625","142.250.195.74","192.168.4.113","UDP","201","443  >  63503 Len=159"
"70","7.293828","192.168.4.113","3.219.151.71","TLSv1.2","249","Application Data"
"71","7.294358","192.168.4.113","142.250.195.74","UDP","75","63503  >  443 Len=33"
"72","7.297273","142.250.195.74","192.168.4.113","UDP","201","443  >  63503 Len=159"
"73","7.297623","192.168.4.113","142.250.195.74","UDP","76","63503  >  443 Len=34"
"74","7.593611","3.219.151.71","192.168.4.113","TLSv1.2","108","Application Data"
"75","7.594074","192.168.4.113","3.219.151.71","TLSv1.2","502","Application Data"
"76","7.900820","3.219.151.71","192.168.4.113","TLSv1.2","608","Application Data"
"77","7.949474","192.168.4.113","3.219.151.71","TCP","54","56185  >  443 [ACK] Seq=1099 Ack=6222 Win=131584 Len=0"
"78","7.957015","192.168.4.113","216.58.196.174","UDP","1286","64344  >  443 Len=1244"
"79","7.957243","192.168.4.113","216.58.196.174","UDP","444","64344  >  443 Len=402"
"80","7.973562","216.58.196.174","192.168.4.113","UDP","69","443  >  64344 Len=27"
"81","8.012233","216.58.196.174","192.168.4.113","UDP","110","443  >  64344 Len=68"
"82","8.012233","216.58.196.174","192.168.4.113","UDP","63","443  >  64344 Len=21"
"83","8.012878","192.168.4.113","216.58.196.174","UDP","78","64344  >  443 Len=36"
"84","8.043119","192.168.4.113","216.58.196.174","UDP","75","64344  >  443 Len=33"
"85","8.046970","216.58.196.174","192.168.4.113","UDP","66","443  >  64344 Len=24"
"86","8.609271","192.168.4.113","142.250.182.78","UDP","403","61040  >  443 Len=361"
"87","8.619615","192.168.4.113","142.250.182.78","UDP","749","61040  >  443 Len=707"
"88","8.626784","142.250.182.78","192.168.4.113","UDP","75","443  >  61040 Len=33"
"89","8.628687","192.168.4.113","142.250.182.78","UDP","1285","61040  >  443 Len=1243"
"90","8.628974","192.168.4.113","142.250.182.78","UDP","1130","61040  >  443 Len=1088"
"91","8.629876","142.250.182.78","192.168.4.113","UDP","75","443  >  61040 Len=33"
"92","8.629904","192.168.4.113","192.168.4.1","DNS","86","Standard query 0x8883 A waa-pa.clients6.google.com"
"93","8.632791","192.168.4.1","192.168.4.113","DNS","102","Standard query response 0x8883 A waa-pa.clients6.google.com A 142.250.205.234"
"94","8.633109","192.168.4.113","142.250.182.78","UDP","75","61040  >  443 Len=33"
"95","8.635026","192.168.4.113","142.250.205.234","QUIC","1292","Initial, DCID=cc566147ea12441b, PKN: 1, CRYPTO"
"96","8.635130","192.168.4.113","142.250.205.234","QUIC","1292","Initial, DCID=cc566147ea12441b, PKN: 2, CRYPTO"
"97","8.635171","192.168.4.113","142.250.205.234","QUIC","1292","Initial, DCID=cc566147ea12441b, PKN: 3, CRYPTO, CRYPTO, PADDING"
"98","8.635409","192.168.4.113","142.250.205.234","QUIC","123","0-RTT, DCID=cc566147ea12441b"
"99","8.638899","142.250.182.78","192.168.4.113","UDP","74","443  >  61040 Len=32"
"100","8.641436","192.168.4.113","142.250.182.78","UDP","75","61040  >  443 Len=33"
"101","8.643170","192.168.4.113","142.250.195.74","UDP","364","63503  >  443 Len=322"
"102","8.645844","142.250.205.234","192.168.4.113","QUIC","1292","Initial, SCID=ec566147ea12441b, PKN: 1, ACK, PADDING"
"103","8.645844","142.250.205.234","192.168.4.113","QUIC","1292","Initial, SCID=ec566147ea12441b, PKN: 2, ACK, PADDING"
"104","8.652179","192.168.4.113","142.250.205.234","QUIC","1292","Initial, DCID=ec566147ea12441b, PKN: 6, PADDING, PING, PADDING"
"105","8.653074","142.250.195.74","192.168.4.113","UDP","75","443  >  63503 Len=33"
"106","8.662144","142.250.205.234","192.168.4.113","QUIC","1292","Initial, SCID=ec566147ea12441b, PKN: 3, ACK, PADDING"
"107","8.662550","192.168.4.113","142.250.195.74","UDP","75","63503  >  443 Len=33"
"108","8.678720","142.250.205.234","192.168.4.113","QUIC","1292","Initial, SCID=ec566147ea12441b, PKN: 4, CRYPTO, PADDING"
"109","8.678720","142.250.205.234","192.168.4.113","QUIC","348","Protected Payload (KP0)"
"110","8.678720","142.250.205.234","192.168.4.113","QUIC","986","Protected Payload (KP0)"
"111","8.678720","142.250.205.234","192.168.4.113","QUIC","87","Protected Payload (KP0)"
"112","8.678720","142.250.205.234","192.168.4.113","QUIC","66","Protected Payload (KP0)"
"113","8.680087","192.168.4.113","142.250.205.234","QUIC","1292","Handshake, DCID=ec566147ea12441b"
"114","8.680317","192.168.4.113","142.250.205.234","QUIC","73","Protected Payload (KP0), DCID=ec566147ea12441b"
"115","8.681049","192.168.4.113","142.250.205.234","QUIC","1288","Protected Payload (KP0), DCID=ec566147ea12441b"
"116","8.681218","192.168.4.113","142.250.205.234","QUIC","1292","Protected Payload (KP0), DCID=ec566147ea12441b"
"117","8.681285","192.168.4.113","142.250.205.234","QUIC","1288","Protected Payload (KP0), DCID=ec566147ea12441b"
"118","8.681335","192.168.4.113","142.250.205.234","QUIC","878","Protected Payload (KP0), DCID=ec566147ea12441b"
"119","8.689910","142.250.205.234","192.168.4.113","QUIC","162","Protected Payload (KP0)"
"120","8.690496","142.250.205.234","192.168.4.113","QUIC","67","Protected Payload (KP0)"
"121","8.690642","142.250.205.234","192.168.4.113","QUIC","67","Protected Payload (KP0)"
"122","8.692517","142.250.205.234","192.168.4.113","QUIC","71","Protected Payload (KP0)"
"123","8.692858","192.168.4.113","142.250.205.234","QUIC","74","Protected Payload (KP0), DCID=ec566147ea12441b"
"124","8.717248","142.250.205.234","192.168.4.113","QUIC","66","Protected Payload (KP0)"
"125","8.722806","142.250.182.78","192.168.4.113","UDP","733","443  >  61040 Len=691"
"126","8.723909","142.250.182.78","192.168.4.113","UDP","684","443  >  61040 Len=642"
"127","8.724517","142.250.182.78","192.168.4.113","UDP","276","443  >  61040 Len=234"
"128","8.726079","142.250.182.78","192.168.4.113","UDP","102","443  >  61040 Len=60"
"129","8.726204","192.168.4.113","142.250.182.78","UDP","84","61040  >  443 Len=42"
"130","8.730089","192.168.4.113","142.250.182.78","UDP","75","61040  >  443 Len=33"
"131","8.736192","142.250.182.78","192.168.4.113","UDP","68","443  >  61040 Len=26"
"132","8.739032","142.250.205.234","192.168.4.113","QUIC","1283","Protected Payload (KP0)"
"133","8.739032","142.250.205.234","192.168.4.113","QUIC","84","Protected Payload (KP0)"
"134","8.739727","192.168.4.113","142.250.205.234","QUIC","77","Protected Payload (KP0), DCID=ec566147ea12441b"
"135","8.774783","142.250.205.234","192.168.4.113","QUIC","66","Protected Payload (KP0)"
"136","8.821158","142.250.182.78","192.168.4.113","UDP","126","443  >  61040 Len=84"
"137","8.823539","192.168.4.113","142.250.182.78","UDP","82","61040  >  443 Len=40"
"138","8.824240","142.250.182.78","192.168.4.113","UDP","132","443  >  61040 Len=90"
"139","8.834338","142.250.182.78","192.168.4.113","UDP","68","443  >  61040 Len=26"
"140","8.834622","192.168.4.113","142.250.182.78","UDP","74","61040  >  443 Len=32"
"141","8.854454","142.250.195.74","192.168.4.113","UDP","1046","443  >  63503 Len=1004"
"142","8.854454","142.250.195.74","192.168.4.113","UDP","65","443  >  63503 Len=23"
"143","8.857995","192.168.4.113","142.250.195.74","UDP","82","63503  >  443 Len=40"
"144","8.870101","142.250.195.74","192.168.4.113","UDP","68","443  >  63503 Len=26"
"145","9.277457","192.168.4.113","74.125.200.188","TCP","55","56156  >  5228 [ACK] Seq=1 Ack=1 Win=510 Len=1"
"146","9.318902","74.125.200.188","192.168.4.113","TCP","66","5228  >  56156 [ACK] Seq=1 Ack=2 Win=290 Len=0 SLE=1 SRE=2"
"147","9.433707","192.168.4.113","44.209.51.97","TLSv1.2","364","Application Data"
"148","9.744318","44.209.51.97","192.168.4.113","TCP","54","443  >  56184 [ACK] Seq=6094 Ack=2048 Win=33024 Len=0"
"149","9.744318","44.209.51.97","192.168.4.113","TLSv1.2","108","Application Data"
"150","9.745012","192.168.4.113","44.209.51.97","TLSv1.2","1073","Application Data"
"151","9.825670","192.168.4.113","106.51.42.25","TLSv1.2","2345","Application Data"
"152","9.830752","106.51.42.25","192.168.4.113","TCP","54","443  >  56177 [ACK] Seq=1 Ack=1385 Win=701 Len=0"
"153","9.830752","106.51.42.25","192.168.4.113","TCP","54","443  >  56177 [ACK] Seq=1 Ack=2292 Win=723 Len=0"
"154","10.051294","106.51.42.25","192.168.4.113","TLSv1.2","580","Application Data"
"155","10.051294","106.51.42.25","192.168.4.113","TCP","1494","443  >  56177 [ACK] Seq=527 Ack=2292 Win=723 Len=1440 [TCP segment of a reassembled PDU]"
"156","10.051294","106.51.42.25","192.168.4.113","TLSv1.2","199","Application Data"
"157","10.051294","106.51.42.25","192.168.4.113","TCP","199","[TCP Retransmission] 443  >  56177 [PSH, ACK] Seq=1967 Ack=2292 Win=723 Len=145 [TCP segment of a reassembled PDU]"
"158","10.051401","192.168.4.113","106.51.42.25","TCP","66","56177  >  443 [ACK] Seq=2292 Ack=2112 Win=1024 Len=0 SLE=1967 SRE=2112"
"159","10.051503","44.209.51.97","192.168.4.113","TCP","54","443  >  56184 [ACK] Seq=6148 Ack=3067 Win=50944 Len=0"
"160","10.094646","44.209.51.97","192.168.4.113","TLSv1.2","512","Application Data"
"161","10.141146","192.168.4.113","44.209.51.97","TCP","54","56184  >  443 [ACK] Seq=3067 Ack=6606 Win=131072 Len=0"
"162","10.204435","192.168.4.113","74.125.200.188","TCP","55","56157  >  5228 [ACK] Seq=1 Ack=1 Win=509 Len=1"
"163","10.228712","192.168.4.113","106.51.42.25","TLSv1.2","455","Application Data"
"164","10.253758","106.51.42.25","192.168.4.113","TCP","54","443  >  56177 [ACK] Seq=2112 Ack=2693 Win=744 Len=0"
"165","10.253919","74.125.200.188","192.168.4.113","TCP","66","5228  >  56157 [ACK] Seq=1 Ack=2 Win=290 Len=0 SLE=1 SRE=2"
"166","10.389430","192.168.4.113","106.51.42.25","TLSv1.2","2368","Application Data"
"167","10.398407","106.51.42.25","192.168.4.113","TCP","54","443  >  56177 [ACK] Seq=2112 Ack=5007 Win=780 Len=0"
"168","10.588748","192.168.4.113","106.51.42.25","TLSv1.2","457","Application Data"
"169","10.591201","106.51.42.25","192.168.4.113","TLSv1.2","741","Application Data"
"170","10.591201","106.51.42.25","192.168.4.113","TLSv1.2","741","Application Data"
"171","10.591201","106.51.42.25","192.168.4.113","TCP","1494","443  >  56177 [ACK] Seq=3486 Ack=5007 Win=780 Len=1440 [TCP segment of a reassembled PDU]"
"172","10.591388","192.168.4.113","106.51.42.25","TCP","54","56177  >  443 [ACK] Seq=5410 Ack=4926 Win=1024 Len=0"
"173","10.592084","106.51.42.25","192.168.4.113","TLSv1.2","348","Application Data"
"174","10.592084","106.51.42.25","192.168.4.113","TCP","1494","443  >  56177 [ACK] Seq=5220 Ack=5007 Win=780 Len=1440 [TCP segment of a reassembled PDU]"
"175","10.592084","106.51.42.25","192.168.4.113","TLSv1.2","709","Application Data"
"176","10.592180","192.168.4.113","106.51.42.25","TCP","54","56177  >  443 [ACK] Seq=5410 Ack=7315 Win=1024 Len=0"
"177","10.599298","106.51.42.25","192.168.4.113","TCP","709","[TCP Spurious Retransmission] 443  >  56177 [PSH, ACK] Seq=6660 Ack=5007 Win=780 Len=655 [TCP segment of a reassembled PDU]"
"178","10.599298","106.51.42.25","192.168.4.113","TCP","54","443  >  56177 [ACK] Seq=7315 Ack=5410 Win=802 Len=0"
"179","10.599361","192.168.4.113","106.51.42.25","TCP","66","[TCP Dup ACK 176#1] 56177  >  443 [ACK] Seq=5410 Ack=7315 Win=1024 Len=0 SLE=6660 SRE=7315"
"180","10.829045","192.168.4.113","192.168.4.1","DNS","91","Standard query 0x482b A browser.pipe.aria.microsoft.com"
"181","10.831470","106.51.42.25","192.168.4.113","TLSv1.2","741","Application Data"
"182","10.831470","106.51.42.25","192.168.4.113","TCP","1494","443  >  56177 [ACK] Seq=8002 Ack=5410 Win=802 Len=1440 [TCP segment of a reassembled PDU]"
"183","10.831470","106.51.42.25","192.168.4.113","TLSv1.2","454","Application Data"
"184","10.831470","106.51.42.25","192.168.4.113","TCP","454","[TCP Retransmission] 443  >  56177 [PSH, ACK] Seq=9442 Ack=5410 Win=802 Len=400 [TCP segment of a reassembled PDU]"
"185","10.831590","192.168.4.113","106.51.42.25","TCP","66","56177  >  443 [ACK] Seq=5410 Ack=9842 Win=1024 Len=0 SLE=9442 SRE=9842"
"186","10.833385","192.168.4.1","192.168.4.113","DNS","212","Standard query response 0x482b A browser.pipe.aria.microsoft.com CNAME browser.events.data.trafficmanager.net CNAME onedscolprdwus07.westus.cloudapp.azure.com A 20.189.173.8"
"187","10.834292","192.168.4.113","20.189.173.8","TCP","66","56186  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"188","10.953420","192.168.4.113","106.51.42.25","TLSv1.2","2313","Application Data"
"189","10.953641","192.168.4.113","106.51.42.25","TLSv1.2","16411","Application Data"
"190","10.953750","192.168.4.113","106.51.42.25","TLSv1.2","16411","Application Data"
"191","10.953843","192.168.4.113","106.51.42.25","TLSv1.2","16411","Application Data"
"192","10.953919","192.168.4.113","106.51.42.25","TLSv1.2","16411","Application Data"
"193","10.953972","192.168.4.113","106.51.42.25","TLSv1.2","307","Application Data"
"194","10.975205","192.168.4.113","106.51.42.25","TCP","1438","[TCP Retransmission] 56177  >  443 [PSH, ACK] Seq=71966 Ack=9842 Win=1024 Len=1384"
"195","10.975402","106.51.42.25","192.168.4.113","TCP","54","443  >  56177 [ACK] Seq=9842 Ack=6794 Win=825 Len=0"
"196","10.975402","106.51.42.25","192.168.4.113","TCP","54","443  >  56177 [ACK] Seq=9842 Ack=7669 Win=847 Len=0"
