Time,Source,Destination,Protocol,Length,Predicted_Protocol,Max_Probability
2e-05,127.0.0.1,127.0.0.1,TCP,56,TCP,0.9
10.763192,127.0.0.1,127.0.0.1,TCP,61,TCP,0.8133333333333335
12.411828,127.0.0.1,127.0.0.1,TCP,61,TCP,0.82
13.967842,127.0.0.1,127.0.0.1,TCP,61,TCP,0.82
14.049328,127.0.0.1,127.0.0.1,TCP,51,TCP,0.97
14.049835,127.0.0.1,127.0.0.1,TCP,51,TCP,0.97
15.006487,127.0.0.1,127.0.0.1,TCP,56,TCP,0.97
15.562756,127.0.0.1,127.0.0.1,TCP,61,TCP,0.82
17.130002,127.0.0.1,127.0.0.1,TCP,61,TCP,0.82
17.24831,127.0.0.1,127.0.0.1,TCP,61,TCP,0.82
18.955803,127.0.0.1,127.0.0.1,TCP,61,TCP,0.81
20.700193,127.0.0.1,127.0.0.1,TCP,105,TLSv1.3,0.93
20.70092,127.0.0.1,127.0.0.1,TCP,122,TLSv1.3,0.94
20.701412,127.0.0.1,127.0.0.1,TCP,101,TLSv1.3,0.93
20.701559,127.0.0.1,127.0.0.1,TCP,87,TLSv1.3,0.89
20.703304,127.0.0.1,127.0.0.1,TCP,105,TLSv1.3,0.93
20.703923,127.0.0.1,127.0.0.1,TCP,122,TLSv1.3,0.94
20.704354,127.0.0.1,127.0.0.1,TCP,101,TLSv1.3,0.93
20.704485,127.0.0.1,127.0.0.1,TCP,87,TLSv1.3,0.89
21.158307,127.0.0.1,127.0.0.1,TCP,87,TLSv1.3,0.89
25.709651,127.0.0.1,127.0.0.1,TCP,105,TLSv1.3,0.91
25.710416,127.0.0.1,127.0.0.1,TCP,122,TLSv1.3,0.92
25.710955,127.0.0.1,127.0.0.1,TCP,101,TLSv1.3,0.91
25.711113,127.0.0.1,127.0.0.1,TCP,87,TLSv1.3,0.88
26.88573,127.0.0.1,127.0.0.1,TCP,56,TCP,0.97
26.885756,127.0.0.1,127.0.0.1,TCP,56,TCP,0.97
30.017403,127.0.0.1,127.0.0.1,TCP,56,TCP,0.95
31.702409,127.0.0.1,127.0.0.1,TCP,105,TLSv1.3,0.93
31.702992,127.0.0.1,127.0.0.1,TCP,105,TLSv1.3,0.93
31.703352,127.0.0.1,127.0.0.1,TCP,122,TLSv1.3,0.93
31.703625,127.0.0.1,127.0.0.1,TCP,101,TLSv1.3,0.93
31.703697,127.0.0.1,127.0.0.1,TCP,87,TLSv1.3,0.93
31.704563,127.0.0.1,127.0.0.1,TCP,122,TLSv1.3,0.93
31.704814,127.0.0.1,127.0.0.1,TCP,101,TLSv1.3,0.93
31.704875,127.0.0.1,127.0.0.1,TCP,87,TLSv1.3,0.93
37.717919,127.0.0.1,127.0.0.1,TCP,105,TLSv1.3,0.81
37.71799,127.0.0.1,127.0.0.1,TCP,122,TLSv1.3,0.82
37.7183,127.0.0.1,127.0.0.1,TCP,101,TLSv1.3,0.81
37.718408,127.0.0.1,127.0.0.1,TCP,87,TLSv1.3,0.81
42.720575,127.0.0.1,127.0.0.1,TCP,105,TLSv1.3,0.95
42.721889,127.0.0.1,127.0.0.1,TCP,122,TLSv1.3,0.96
42.722258,127.0.0.1,127.0.0.1,TCP,101,TLSv1.3,0.95
42.722385,127.0.0.1,127.0.0.1,TCP,87,TLSv1.3,0.95
43.70133,127.0.0.1,127.0.0.1,TCP,105,TLSv1.3,0.94
43.70772,127.0.0.1,127.0.0.1,TCP,122,TLSv1.3,0.95
43.708086,127.0.0.1,127.0.0.1,TCP,101,TLSv1.3,0.94
43.708181,127.0.0.1,127.0.0.1,TCP,87,TLSv1.3,0.94
44.109817,127.0.0.1,127.0.0.1,TCP,51,TCP,0.96
44.11054,127.0.0.1,127.0.0.1,TCP,51,TCP,0.96
45.01076,127.0.0.1,127.0.0.1,TCP,87,TLSv1.3,0.83
45.025083,127.0.0.1,127.0.0.1,TCP,56,TCP,0.95
48.330795,127.0.0.1,127.0.0.1,TCP,86,TLSv1.3,0.82
48.388653,127.0.0.1,127.0.0.1,TCP,94,TLSv1.3,0.84
49.719186,127.0.0.1,127.0.0.1,TCP,105,TLSv1.3,0.83
49.719729,127.0.0.1,127.0.0.1,TCP,122,TLSv1.3,0.84
49.720001,127.0.0.1,127.0.0.1,TCP,101,TLSv1.3,0.83
49.72007,127.0.0.1,127.0.0.1,TCP,87,TLSv1.3,0.83
50.960494,127.0.0.1,127.0.0.1,TCP,296,TLSv1.3,0.84
50.962137,127.0.0.1,127.0.0.1,TCP,86,TLSv1.3,0.83
50.979403,127.0.0.1,127.0.0.1,TCP,170,TLSv1.3,0.85
51.019313,127.0.0.1,127.0.0.1,TCP,296,TLSv1.3,0.84
51.02464,127.0.0.1,127.0.0.1,TCP,107,TLSv1.3,0.85
51.02893,127.0.0.1,127.0.0.1,TCP,86,TLSv1.3,0.83
51.030612,127.0.0.1,127.0.0.1,TCP,124,TLSv1.3,0.85
51.060775,127.0.0.1,127.0.0.1,TCP,87,TLSv1.3,0.84
51.068165,127.0.0.1,127.0.0.1,TCP,103,TLSv1.3,0.84
51.070825,127.0.0.1,127.0.0.1,TCP,86,TLSv1.3,0.83
51.077357,127.0.0.1,127.0.0.1,TCP,86,TLSv1.3,0.83
51.099988,127.0.0.1,127.0.0.1,TCP,86,TLSv1.3,0.83
51.117986,127.0.0.1,127.0.0.1,TCP,107,TLSv1.3,0.85
51.119734,127.0.0.1,127.0.0.1,TCP,86,TLSv1.3,0.83
51.12498,127.0.0.1,127.0.0.1,TCP,128,TLSv1.3,0.85
51.125199,127.0.0.1,127.0.0.1,TCP,86,TLSv1.3,0.83
51.126709,127.0.0.1,127.0.0.1,TCP,86,TLSv1.3,0.83
51.131555,127.0.0.1,127.0.0.1,TCP,103,TLSv1.3,0.84
51.132945,127.0.0.1,127.0.0.1,TCP,86,TLSv1.3,0.83
51.13459,127.0.0.1,127.0.0.1,TCP,86,TLSv1.3,0.83
51.136994,127.0.0.1,127.0.0.1,TCP,103,TLSv1.3,0.84
51.143291,127.0.0.1,127.0.0.1,TCP,86,TLSv1.3,0.83
51.144044,127.0.0.1,127.0.0.1,TCP,86,TLSv1.3,0.83
51.285938,127.0.0.1,127.0.0.1,TCP,86,TLSv1.3,0.83
51.327916,127.0.0.1,127.0.0.1,TCP,103,TLSv1.3,0.84
51.362894,127.0.0.1,127.0.0.1,TCP,86,TLSv1.3,0.83
51.364815,127.0.0.1,127.0.0.1,TCP,86,TLSv1.3,0.83
51.373614,127.0.0.1,127.0.0.1,TCP,86,TLSv1.3,0.83
51.375046,127.0.0.1,127.0.0.1,TCP,124,TLSv1.3,0.85
51.377297,127.0.0.1,127.0.0.1,TCP,86,TLSv1.3,0.83
51.379712,127.0.0.1,127.0.0.1,TCP,103,TLSv1.3,0.84
51.387031,127.0.0.1,127.0.0.1,TCP,87,TLSv1.3,0.84
51.390574,127.0.0.1,127.0.0.1,TCP,86,TLSv1.3,0.83
51.391215,127.0.0.1,127.0.0.1,TCP,86,TLSv1.3,0.83
51.393146,127.0.0.1,127.0.0.1,TCP,86,TLSv1.3,0.83
51.394651,127.0.0.1,127.0.0.1,TCP,86,TLSv1.3,0.83
51.398116,127.0.0.1,127.0.0.1,TCP,86,TLSv1.3,0.83
51.407754,127.0.0.1,127.0.0.1,TCP,86,TLSv1.3,0.83
51.41392,127.0.0.1,127.0.0.1,TCP,86,TLSv1.3,0.83
51.421092,127.0.0.1,127.0.0.1,TCP,86,TLSv1.3,0.83
51.431463,127.0.0.1,127.0.0.1,TCP,128,TLSv1.3,0.85
51.432925,127.0.0.1,127.0.0.1,TCP,86,TLSv1.3,0.83
51.437387,127.0.0.1,127.0.0.1,TCP,86,TLSv1.3,0.83
51.442657,127.0.0.1,127.0.0.1,TCP,103,TLSv1.3,0.84
51.455233,127.0.0.1,127.0.0.1,TCP,86,TLSv1.3,0.83
