Time,Source,Destination,Protocol,Length,Original_Protocol,Predicted_Protocol,Max_Probability
0.278093,-1,-1,TCP,55,TCP,TCP,0.9
0.321137,-1,-1,TCP,66,TCP,TCP,0.85
0.348563,-1,-1,TCP,54,TCP,TCP,0.9
0.614109,-1,-1,TCP,54,TCP,TCP,0.9
0.871746,-1,-1,TCP,54,TCP,TCP,0.9
3.114508,-1,-1,TCP,54,TCP,TCP,0.93
3.379424,-1,-1,TCP,54,TCP,TCP,0.93
3.379554,-1,-1,TCP,54,TCP,TCP,0.93
4.951446,-1,-1,TCP,55,TCP,TCP,0.93
4.955846,-1,-1,TCP,66,TCP,TCP,0.85
5.216949,-1,-1,TCP,55,TCP,TCP,0.93
5.260321,-1,-1,TCP,66,TCP,TCP,0.85
7.258136,-1,-1,TCP,55,TCP,TCP,0.93
7.262069,-1,-1,TCP,66,TCP,TCP,0.85
8.862612,-1,-1,TCP,55,TCP,TCP,0.93
9.113945,-1,-1,TCP,66,TCP,TCP,0.86
14.815022,-1,-1,TCP,66,TCP,TCP,0.9
15.053989,-1,-1,TCP,66,TCP,TCP,0.9
15.054163,-1,-1,TCP,54,TCP,TCP,0.97
15.261408,-1,-1,TCP,54,TCP,TCP,0.97
15.467165,-1,-1,TCP,54,TCP,TCP,0.97
15.471862,-1,-1,TCP,54,TCP,TCP,0.97
15.667305,-1,-1,TCP,54,TCP,TCP,0.97
15.667434,-1,-1,TCP,54,TCP,TCP,0.97
15.848192,-1,-1,TCP,54,TCP,TCP,0.97
15.848727,-1,-1,TCP,54,TCP,TCP,0.97
15.848947,-1,-1,TCP,54,TCP,TCP,0.97
15.849049,-1,-1,TCP,54,TCP,TCP,0.97
15.849273,-1,-1,TCP,54,TCP,TCP,0.97
15.849408,-1,-1,TCP,54,TCP,TCP,0.97
15.849602,-1,-1,TCP,54,TCP,TCP,0.97
15.849665,-1,-1,TCP,54,TCP,TCP,0.97
15.849663,-1,-1,TCP,54,TCP,TCP,0.97
15.849806,-1,-1,TCP,54,TCP,TCP,0.97
15.850209,-1,-1,TCP,54,TCP,TCP,0.97
15.850247,-1,-1,TCP,54,TCP,TCP,0.97
15.85044,-1,-1,TCP,54,TCP,TCP,0.97
15.857496,-1,-1,TCP,66,TCP,TCP,0.9
15.868371,-1,-1,TCP,66,TCP,TCP,0.9
15.868499,-1,-1,TCP,54,TCP,TCP,0.97
15.880147,-1,-1,TCP,54,TCP,TCP,0.97
16.155739,-1,-1,TCP,54,TCP,TCP,0.97
16.155906,-1,-1,TCP,54,TCP,TCP,0.97
