"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","127.0.0.1","127.0.0.1","TCP","45","49711  >  49712 [PSH, ACK] Seq=1 Ack=1 Win=8442 Len=1"
"2","0.000051","127.0.0.1","127.0.0.1","TCP","44","49712  >  49711 [ACK] Seq=1 Ack=2 Win=8198 Len=0"
"3","0.000497","127.0.0.1","127.0.0.1","TCP","45","49722  >  49721 [PSH, ACK] Seq=1 Ack=1 Win=8442 Len=1"
"4","0.000548","127.0.0.1","127.0.0.1","TCP","44","49721  >  49722 [ACK] Seq=1 Ack=2 Win=8198 Len=0"
"5","0.000942","127.0.0.1","127.0.0.1","TCP","45","49711  >  49712 [PSH, ACK] Seq=2 Ack=1 Win=8442 Len=1"
"6","0.000959","127.0.0.1","127.0.0.1","TCP","45","49722  >  49721 [PSH, ACK] Seq=2 Ack=1 Win=8442 Len=1"
"7","0.000960","127.0.0.1","127.0.0.1","TCP","44","49712  >  49711 [ACK] Seq=1 Ack=3 Win=8198 Len=0"
"8","0.000972","127.0.0.1","127.0.0.1","TCP","44","49721  >  49722 [ACK] Seq=1 Ack=3 Win=8198 Len=0"
"9","0.001076","127.0.0.1","127.0.0.1","TCP","45","49722  >  49721 [PSH, ACK] Seq=3 Ack=1 Win=8442 Len=1"
"10","0.001086","127.0.0.1","127.0.0.1","TCP","44","49721  >  49722 [ACK] Seq=1 Ack=4 Win=8198 Len=0"
"11","0.001245","127.0.0.1","127.0.0.1","TCP","45","49711  >  49712 [PSH, ACK] Seq=3 Ack=1 Win=8442 Len=1"
"12","0.001256","127.0.0.1","127.0.0.1","TCP","44","49712  >  49711 [ACK] Seq=1 Ack=4 Win=8198 Len=0"
"13","0.001483","127.0.0.1","127.0.0.1","TCP","45","49722  >  49721 [PSH, ACK] Seq=4 Ack=1 Win=8442 Len=1"
"14","0.001529","127.0.0.1","127.0.0.1","TCP","44","49721  >  49722 [ACK] Seq=1 Ack=5 Win=8198 Len=0"
"15","0.001911","127.0.0.1","127.0.0.1","TCP","45","49711  >  49712 [PSH, ACK] Seq=4 Ack=1 Win=8442 Len=1"
"16","0.001921","127.0.0.1","127.0.0.1","TCP","44","49712  >  49711 [ACK] Seq=1 Ack=5 Win=8198 Len=0"
"17","0.001993","127.0.0.1","127.0.0.1","TCP","45","49722  >  49721 [PSH, ACK] Seq=5 Ack=1 Win=8442 Len=1"
"18","0.002000","127.0.0.1","127.0.0.1","TCP","44","49721  >  49722 [ACK] Seq=1 Ack=6 Win=8198 Len=0"
"19","0.002078","127.0.0.1","127.0.0.1","TCP","45","49711  >  49712 [PSH, ACK] Seq=5 Ack=1 Win=8442 Len=1"
"20","0.002084","127.0.0.1","127.0.0.1","TCP","44","49712  >  49711 [ACK] Seq=1 Ack=6 Win=8198 Len=0"
"21","0.002262","127.0.0.1","127.0.0.1","TCP","45","49722  >  49721 [PSH, ACK] Seq=6 Ack=1 Win=8442 Len=1"
"22","0.002280","127.0.0.1","127.0.0.1","TCP","44","49721  >  49722 [ACK] Seq=1 Ack=7 Win=8198 Len=0"
"23","0.002530","127.0.0.1","127.0.0.1","TCP","45","49711  >  49712 [PSH, ACK] Seq=6 Ack=1 Win=8442 Len=1"
"24","0.002540","127.0.0.1","127.0.0.1","TCP","44","49712  >  49711 [ACK] Seq=1 Ack=7 Win=8198 Len=0"
"25","0.002703","127.0.0.1","127.0.0.1","TCP","45","49722  >  49721 [PSH, ACK] Seq=7 Ack=1 Win=8442 Len=1"
"26","0.002758","127.0.0.1","127.0.0.1","TCP","44","49721  >  49722 [ACK] Seq=1 Ack=8 Win=8198 Len=0"
"27","0.003141","127.0.0.1","127.0.0.1","TCP","45","49711  >  49712 [PSH, ACK] Seq=7 Ack=1 Win=8442 Len=1"
"28","0.003151","127.0.0.1","127.0.0.1","TCP","44","49712  >  49711 [ACK] Seq=1 Ack=8 Win=8198 Len=0"
"29","0.003313","127.0.0.1","127.0.0.1","TCP","45","49722  >  49721 [PSH, ACK] Seq=8 Ack=1 Win=8442 Len=1"
"30","0.003351","127.0.0.1","127.0.0.1","TCP","44","49721  >  49722 [ACK] Seq=1 Ack=9 Win=8198 Len=0"
"31","0.003568","127.0.0.1","127.0.0.1","TCP","45","49711  >  49712 [PSH, ACK] Seq=8 Ack=1 Win=8442 Len=1"
"32","0.003578","127.0.0.1","127.0.0.1","TCP","44","49712  >  49711 [ACK] Seq=1 Ack=9 Win=8198 Len=0"
"33","0.003755","127.0.0.1","127.0.0.1","TCP","45","49722  >  49721 [PSH, ACK] Seq=9 Ack=1 Win=8442 Len=1"
"34","0.003765","127.0.0.1","127.0.0.1","TCP","44","49721  >  49722 [ACK] Seq=1 Ack=10 Win=8198 Len=0"
"35","0.003998","127.0.0.1","127.0.0.1","TCP","45","49711  >  49712 [PSH, ACK] Seq=9 Ack=1 Win=8442 Len=1"
"36","0.004010","127.0.0.1","127.0.0.1","TCP","44","49712  >  49711 [ACK] Seq=1 Ack=10 Win=8198 Len=0"
"37","0.004198","127.0.0.1","127.0.0.1","TCP","45","49722  >  49721 [PSH, ACK] Seq=10 Ack=1 Win=8442 Len=1"
"38","0.004237","127.0.0.1","127.0.0.1","TCP","44","49721  >  49722 [ACK] Seq=1 Ack=11 Win=8198 Len=0"
"39","0.004592","127.0.0.1","127.0.0.1","TCP","45","49711  >  49712 [PSH, ACK] Seq=10 Ack=1 Win=8442 Len=1"
"40","0.004603","127.0.0.1","127.0.0.1","TCP","44","49712  >  49711 [ACK] Seq=1 Ack=11 Win=8198 Len=0"
"41","0.004773","127.0.0.1","127.0.0.1","TCP","45","49722  >  49721 [PSH, ACK] Seq=11 Ack=1 Win=8442 Len=1"
"42","0.004785","127.0.0.1","127.0.0.1","TCP","44","49721  >  49722 [ACK] Seq=1 Ack=12 Win=8198 Len=0"
"43","0.005028","127.0.0.1","127.0.0.1","TCP","45","49711  >  49712 [PSH, ACK] Seq=11 Ack=1 Win=8442 Len=1"
"44","0.005039","127.0.0.1","127.0.0.1","TCP","44","49712  >  49711 [ACK] Seq=1 Ack=12 Win=8198 Len=0"
"45","0.005234","127.0.0.1","127.0.0.1","TCP","45","49722  >  49721 [PSH, ACK] Seq=12 Ack=1 Win=8442 Len=1"
"46","0.005265","127.0.0.1","127.0.0.1","TCP","44","49721  >  49722 [ACK] Seq=1 Ack=13 Win=8198 Len=0"
"47","0.005349","127.0.0.1","127.0.0.1","TCP","45","49711  >  49712 [PSH, ACK] Seq=12 Ack=1 Win=8442 Len=1"
"48","0.005356","127.0.0.1","127.0.0.1","TCP","44","49712  >  49711 [ACK] Seq=1 Ack=13 Win=8198 Len=0"
"49","0.005547","127.0.0.1","127.0.0.1","TCP","45","49722  >  49721 [PSH, ACK] Seq=13 Ack=1 Win=8442 Len=1"
"50","0.005556","127.0.0.1","127.0.0.1","TCP","44","49721  >  49722 [ACK] Seq=1 Ack=14 Win=8198 Len=0"
"51","0.005606","127.0.0.1","127.0.0.1","TCP","45","49711  >  49712 [PSH, ACK] Seq=13 Ack=1 Win=8442 Len=1"
