"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","127.0.0.1","127.0.0.1","TCP","45","49722  >  49721 [PSH, ACK] Seq=1 Ack=1 Win=8442 Len=1"
"2","0.000067","127.0.0.1","127.0.0.1","TCP","44","49721  >  49722 [ACK] Seq=1 Ack=2 Win=8252 Len=0"
"3","0.000866","127.0.0.1","127.0.0.1","TCP","45","49711  >  49712 [PSH, ACK] Seq=1 Ack=1 Win=8442 Len=1"
"4","0.000894","127.0.0.1","127.0.0.1","TCP","44","49712  >  49711 [ACK] Seq=1 Ack=2 Win=8251 Len=0"
"5","0.001467","127.0.0.1","127.0.0.1","TCP","45","49722  >  49721 [PSH, ACK] Seq=2 Ack=1 Win=8442 Len=1"
"6","0.001504","127.0.0.1","127.0.0.1","TCP","44","49721  >  49722 [ACK] Seq=1 Ack=3 Win=8252 Len=0"
"7","0.001763","127.0.0.1","127.0.0.1","TCP","45","49711  >  49712 [PSH, ACK] Seq=2 Ack=1 Win=8442 Len=1"
"8","0.001780","127.0.0.1","127.0.0.1","TCP","44","49712  >  49711 [ACK] Seq=1 Ack=3 Win=8251 Len=0"
"9","0.002255","127.0.0.1","127.0.0.1","TCP","45","49722  >  49721 [PSH, ACK] Seq=3 Ack=1 Win=8442 Len=1"
"10","0.002291","127.0.0.1","127.0.0.1","TCP","44","49721  >  49722 [ACK] Seq=1 Ack=4 Win=8252 Len=0"
"11","0.002486","127.0.0.1","127.0.0.1","TCP","45","49711  >  49712 [PSH, ACK] Seq=3 Ack=1 Win=8442 Len=1"
"12","0.002500","127.0.0.1","127.0.0.1","TCP","44","49712  >  49711 [ACK] Seq=1 Ack=4 Win=8251 Len=0"
"13","0.002971","127.0.0.1","127.0.0.1","TCP","45","49722  >  49721 [PSH, ACK] Seq=4 Ack=1 Win=8442 Len=1"
"14","0.003003","127.0.0.1","127.0.0.1","TCP","44","49721  >  49722 [ACK] Seq=1 Ack=5 Win=8252 Len=0"
"15","0.003183","127.0.0.1","127.0.0.1","TCP","45","49711  >  49712 [PSH, ACK] Seq=4 Ack=1 Win=8442 Len=1"
"16","0.003196","127.0.0.1","127.0.0.1","TCP","44","49712  >  49711 [ACK] Seq=1 Ack=5 Win=8251 Len=0"
