"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.4.106","224.0.0.251","MDNS","119","Standard query 0x0004 PTR _C1EB68AE._sub._googlecast._tcp.local, ""QM"" question PTR _233637DE._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"2","0.138272","192.168.4.113","3.223.77.234","TLSv1.2","364","Application Data"
"3","0.278093","192.168.4.113","74.125.200.188","TCP","55","56157  >  5228 [ACK] Seq=1 Ack=1 Win=508 Len=1"
"4","0.321137","74.125.200.188","192.168.4.113","TCP","66","5228  >  56157 [ACK] Seq=1 Ack=2 Win=290 Len=0 SLE=1 SRE=2"
"5","0.348563","3.223.77.234","192.168.4.113","TCP","54","443  >  56891 [ACK] Seq=1 Ack=311 Win=303 Len=0"
"6","0.348563","3.223.77.234","192.168.4.113","TLSv1.2","108","Application Data"
"7","0.349134","192.168.4.113","3.223.77.234","TLSv1.2","1074","Application Data"
"8","0.614109","3.223.77.234","192.168.4.113","TCP","54","443  >  56891 [ACK] Seq=55 Ack=1331 Win=373 Len=0"
"9","0.819584","3.223.77.234","192.168.4.113","TLSv1.2","512","Application Data"
"10","0.871746","192.168.4.113","3.223.77.234","TCP","54","56891  >  443 [ACK] Seq=1331 Ack=513 Win=515 Len=0"
"11","3.071947","142.250.77.138","192.168.4.113","TLSv1.2","102","Application Data"
"12","3.114508","192.168.4.113","142.250.77.138","TCP","54","54688  >  443 [ACK] Seq=1 Ack=49 Win=511 Len=0"
"13","3.379424","216.239.36.223","192.168.4.113","TCP","54","443  >  56887 [FIN, ACK] Seq=1 Ack=1 Win=283 Len=0"
"14","3.379554","192.168.4.113","216.239.36.223","TCP","54","56887  >  443 [ACK] Seq=1 Ack=2 Win=508 Len=0"
"15","4.182625","192.168.4.113","142.250.182.78","UDP","489","58173  >  443 Len=447"
"16","4.195377","142.250.182.78","192.168.4.113","UDP","75","443  >  58173 Len=33"
"17","4.205541","192.168.4.113","142.250.182.78","UDP","75","58173  >  443 Len=33"
"18","4.505687","142.250.182.78","192.168.4.113","UDP","1131","443  >  58173 Len=1089"
"19","4.505687","142.250.182.78","192.168.4.113","UDP","78","443  >  58173 Len=36"
"20","4.505687","142.250.182.78","192.168.4.113","UDP","226","443  >  58173 Len=184"
"21","4.505687","142.250.182.78","192.168.4.113","UDP","1131","443  >  58173 Len=1089"
"22","4.506459","192.168.4.113","142.250.182.78","UDP","83","58173  >  443 Len=41"
"23","4.518051","142.250.182.78","192.168.4.113","UDP","68","443  >  58173 Len=26"
"24","4.951446","192.168.4.113","172.64.155.209","TCP","55","56877  >  443 [ACK] Seq=1 Ack=1 Win=514 Len=1 [TCP segment of a reassembled PDU]"
"25","4.955846","172.64.155.209","192.168.4.113","TCP","66","443  >  56877 [ACK] Seq=1 Ack=2 Win=16 Len=0 SLE=1 SRE=2"
"26","5.216949","192.168.4.113","74.125.200.188","TCP","55","56156  >  5228 [ACK] Seq=1 Ack=1 Win=508 Len=1"
"27","5.260321","74.125.200.188","192.168.4.113","TCP","66","5228  >  56156 [ACK] Seq=1 Ack=2 Win=290 Len=0 SLE=1 SRE=2"
"28","5.632796","142.250.71.42","192.168.4.113","UDP","200","443  >  58511 Len=158"
"29","5.637243","192.168.4.113","142.250.71.42","UDP","75","58511  >  443 Len=33"
"30","5.840678","192.168.4.113","142.250.71.42","UDP","71","58511  >  443 Len=29"
"31","5.853297","142.250.71.42","192.168.4.113","UDP","67","443  >  58511 Len=25"
"32","6.058195","192.168.4.113","142.250.71.42","UDP","71","58511  >  443 Len=29"
"33","6.071093","142.250.71.42","192.168.4.113","UDP","67","443  >  58511 Len=25"
"34","6.275878","192.168.4.113","142.250.71.42","UDP","71","58511  >  443 Len=29"
"35","6.289315","142.250.71.42","192.168.4.113","UDP","67","443  >  58511 Len=25"
"36","6.494758","192.168.4.113","142.250.71.42","UDP","71","58511  >  443 Len=29"
"37","6.507393","142.250.71.42","192.168.4.113","UDP","67","443  >  58511 Len=25"
"38","6.711563","192.168.4.113","142.250.71.42","UDP","71","58511  >  443 Len=29"
"39","6.724888","142.250.71.42","192.168.4.113","UDP","67","443  >  58511 Len=25"
"40","6.930224","192.168.4.113","142.250.71.42","UDP","71","58511  >  443 Len=29"
"41","6.943119","142.250.71.42","192.168.4.113","UDP","67","443  >  58511 Len=25"
"42","7.258136","192.168.4.113","172.64.155.209","TCP","55","56876  >  443 [ACK] Seq=1 Ack=1 Win=509 Len=1 [TCP segment of a reassembled PDU]"
"43","7.262069","172.64.155.209","192.168.4.113","TCP","66","443  >  56876 [ACK] Seq=1 Ack=2 Win=13 Len=0 SLE=1 SRE=2"
"44","7.351699","192.168.4.113","142.250.71.42","UDP","71","58511  >  443 Len=29"
"45","7.363486","142.250.71.42","192.168.4.113","UDP","67","443  >  58511 Len=25"
"46","8.177481","192.168.4.113","142.250.71.42","UDP","71","58511  >  443 Len=29"
"47","8.186367","192.168.4.113","142.250.193.99","QUIC","1292","Initial, DCID=3896f74e687c6fa4, PKN: 1, CRYPTO"
"48","8.186567","192.168.4.113","142.250.193.99","QUIC","1292","Initial, DCID=3896f74e687c6fa4, PKN: 2, PADDING, CRYPTO"
"49","8.187001","192.168.4.113","142.250.193.99","QUIC","119","0-RTT, DCID=3896f74e687c6fa4"
"50","8.187806","192.168.4.113","142.250.193.99","QUIC","850","0-RTT, DCID=3896f74e687c6fa4"
"51","8.193104","142.250.71.42","192.168.4.113","UDP","67","443  >  58511 Len=25"
"52","8.208010","142.250.193.99","192.168.4.113","QUIC","1292","Initial, SCID=f896f74e687c6fa4, PKN: 1, ACK, PADDING"
"53","8.231368","142.250.193.99","192.168.4.113","QUIC","1292","Initial, SCID=f896f74e687c6fa4, PKN: 2, CRYPTO, PADDING"
"54","8.231368","142.250.193.99","192.168.4.113","QUIC","345","Protected Payload (KP0)"
"55","8.233500","192.168.4.113","142.250.193.99","QUIC","1292","Handshake, DCID=f896f74e687c6fa4"
"56","8.233858","142.250.193.99","192.168.4.113","QUIC","986","Protected Payload (KP0)"
"57","8.233858","142.250.193.99","192.168.4.113","QUIC","67","Protected Payload (KP0)"
"58","8.233858","142.250.193.99","192.168.4.113","QUIC","64","Protected Payload (KP0)"
"59","8.234331","192.168.4.113","142.250.193.99","QUIC","73","Protected Payload (KP0), DCID=f896f74e687c6fa4"
"60","8.246743","142.250.193.99","192.168.4.113","QUIC","162","Protected Payload (KP0)"
"61","8.247218","192.168.4.113","142.250.193.99","QUIC","73","Protected Payload (KP0), DCID=f896f74e687c6fa4"
"62","8.268170","142.250.193.99","192.168.4.113","QUIC","559","Protected Payload (KP0)"
