"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","127.0.0.1","127.0.0.1","TCP","45","49722  >  49721 [PSH, ACK] Seq=1 Ack=1 Win=8442 Len=1"
"2","0.000061","127.0.0.1","127.0.0.1","TCP","44","49721  >  49722 [ACK] Seq=1 Ack=2 Win=8341 Len=0"
"3","0.000477","127.0.0.1","127.0.0.1","TCP","45","49711  >  49712 [PSH, ACK] Seq=1 Ack=1 Win=8442 Len=1"
"4","0.000551","127.0.0.1","127.0.0.1","TCP","44","49712  >  49711 [ACK] Seq=1 Ack=2 Win=8340 Len=0"
"5","0.000719","127.0.0.1","127.0.0.1","TCP","45","49722  >  49721 [PSH, ACK] Seq=2 Ack=1 Win=8442 Len=1"
"6","0.000743","127.0.0.1","127.0.0.1","TCP","44","49721  >  49722 [ACK] Seq=1 Ack=3 Win=8341 Len=0"
"7","0.001074","127.0.0.1","127.0.0.1","TCP","45","49711  >  49712 [PSH, ACK] Seq=2 Ack=1 Win=8442 Len=1"
"8","0.001098","127.0.0.1","127.0.0.1","TCP","44","49712  >  49711 [ACK] Seq=1 Ack=3 Win=8340 Len=0"
"9","0.001289","127.0.0.1","127.0.0.1","TCP","45","49722  >  49721 [PSH, ACK] Seq=3 Ack=1 Win=8442 Len=1"
"10","0.001310","127.0.0.1","127.0.0.1","TCP","44","49721  >  49722 [ACK] Seq=1 Ack=4 Win=8341 Len=0"
"11","0.001590","127.0.0.1","127.0.0.1","TCP","45","49711  >  49712 [PSH, ACK] Seq=3 Ack=1 Win=8442 Len=1"
"12","0.001606","127.0.0.1","127.0.0.1","TCP","44","49712  >  49711 [ACK] Seq=1 Ack=4 Win=8340 Len=0"
"13","0.001717","127.0.0.1","127.0.0.1","TCP","45","49722  >  49721 [PSH, ACK] Seq=4 Ack=1 Win=8442 Len=1"
"14","0.001738","127.0.0.1","127.0.0.1","TCP","44","49721  >  49722 [ACK] Seq=1 Ack=5 Win=8341 Len=0"
"15","0.002013","127.0.0.1","127.0.0.1","TCP","45","49711  >  49712 [PSH, ACK] Seq=4 Ack=1 Win=8442 Len=1"
