"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","TPLink_50:fe:5d","Intel_81:40:ca","ARP","60","Who has 192.168.0.108? Tell 192.168.0.1"
"2","0.000000","192.168.0.1","192.168.0.108","NBNS","92","Name query NBSTAT *<00><00><00><00><00><00><00><00><00><00><00><00><00><00><00>"
"3","0.000084","Intel_81:40:ca","TPLink_50:fe:5d","ARP","42","192.168.0.108 is at 08:9d:f4:81:40:ca"
"4","0.022317","192.168.0.108","224.0.0.22","IGMPv3","54","Membership Report / Join group 239.255.255.250 for any sources"
"5","0.392654","2406:7400:104:f6f1:e80d:3eb4:6ca8:ae06","2406:7400:7:7::e","TCP","75","60335  >  443 [ACK] Seq=1 Ack=1 Win=513 Len=1 [TCP segment of a reassembled PDU]"
"6","0.396471","2406:7400:7:7::e","2406:7400:104:f6f1:e80d:3eb4:6ca8:ae06","TCP","86","443  >  60335 [ACK] Seq=1 Ack=2 Win=272 Len=0 SLE=1 SRE=2"
"7","0.689294","2406:7400:104:f6f1:e80d:3eb4:6ca8:ae06","2404:6800:4007:82d::2001","TCP","75","60312  >  443 [ACK] Seq=1 Ack=1 Win=515 Len=1 [TCP segment of a reassembled PDU]"
"8","0.707962","2404:6800:4007:82d::2001","2406:7400:104:f6f1:e80d:3eb4:6ca8:ae06","TCP","86","443  >  60312 [ACK] Seq=1 Ack=2 Win=259 Len=0 SLE=1 SRE=2"
"9","0.758337","TPLink_50:fe:5d","Intel_81:40:ca","ARP","60","Who has 192.168.0.108? Tell 192.168.0.1"
"10","0.758411","Intel_81:40:ca","TPLink_50:fe:5d","ARP","42","192.168.0.108 is at 08:9d:f4:81:40:ca"
"11","0.759907","192.168.0.1","192.168.0.108","NBNS","92","Name query NBSTAT *<00><00><00><00><00><00><00><00><00><00><00><00><00><00><00>"
"12","0.797584","2406:7400:104:f6f1:e80d:3eb4:6ca8:ae06","2404:6800:4007:81d::2016","TCP","75","60306  >  443 [ACK] Seq=1 Ack=1 Win=1031 Len=1 [TCP segment of a reassembled PDU]"
"13","0.813550","2404:6800:4007:81d::2016","2406:7400:104:f6f1:e80d:3eb4:6ca8:ae06","TCP","86","443  >  60306 [ACK] Seq=1 Ack=2 Win=258 Len=0 SLE=1 SRE=2"
"14","1.538582","192.168.0.126","224.0.0.22","IGMPv3","54","Membership Report / Join group 224.0.0.252 for any sources"
"15","1.538582","192.168.0.132","224.0.0.22","IGMPv3","60","Membership Report / Join group 224.0.0.251 for any sources"
"16","1.558063","TPLink_50:fe:5d","Intel_81:40:ca","ARP","60","Who has 192.168.0.108? Tell 192.168.0.1"
"17","1.558139","Intel_81:40:ca","TPLink_50:fe:5d","ARP","42","192.168.0.108 is at 08:9d:f4:81:40:ca"
"18","1.559775","192.168.0.1","192.168.0.108","NBNS","92","Name query NBSTAT *<00><00><00><00><00><00><00><00><00><00><00><00><00><00><00>"
"19","1.842822","192.168.0.119","224.0.0.22","IGMPv3","54","Membership Report / Join group 224.0.0.252 for any sources"
"20","2.355323","TPLink_50:fe:5d","Intel_81:40:ca","ARP","60","Who has 192.168.0.108? Tell 192.168.0.1"
"21","2.355462","Intel_81:40:ca","TPLink_50:fe:5d","ARP","42","192.168.0.108 is at 08:9d:f4:81:40:ca"
"22","2.355881","192.168.0.1","192.168.0.108","NBNS","92","Name query NBSTAT *<00><00><00><00><00><00><00><00><00><00><00><00><00><00><00>"
"23","2.969616","192.168.0.145","224.0.0.22","IGMPv3","54","Membership Report / Join group 224.0.0.251 for any sources"
"24","3.174010","TPLink_50:fe:5d","Intel_81:40:ca","ARP","60","Who has 192.168.0.108? Tell 192.168.0.1"
"25","3.174089","Intel_81:40:ca","TPLink_50:fe:5d","ARP","42","192.168.0.108 is at 08:9d:f4:81:40:ca"
"26","3.174264","192.168.0.1","192.168.0.108","NBNS","92","Name query NBSTAT *<00><00><00><00><00><00><00><00><00><00><00><00><00><00><00>"
"27","3.481588","192.168.0.145","224.0.0.22","IGMPv3","54","Membership Report / Join group 224.0.0.252 for any sources"
"28","3.506534","192.168.0.132","224.0.0.22","IGMPv3","62","Membership Report / Join group 224.0.0.252 for any sources / Join group 239.255.255.250 for any sources"
"29","3.506534","192.168.0.126","224.0.0.22","IGMPv3","54","Membership Report / Join group 239.255.255.250 for any sources"
"30","3.891506","TPLink_50:fe:5d","Intel_81:40:ca","ARP","60","Who has 192.168.0.108? Tell 192.168.0.1"
"31","3.891586","Intel_81:40:ca","TPLink_50:fe:5d","ARP","42","192.168.0.108 is at 08:9d:f4:81:40:ca"
"32","3.891679","192.168.0.1","192.168.0.108","NBNS","92","Name query NBSTAT *<00><00><00><00><00><00><00><00><00><00><00><00><00><00><00>"
"33","4.028254","192.168.0.108","224.0.0.22","IGMPv3","54","Membership Report / Join group 224.0.0.252 for any sources"
"34","4.651031","192.168.0.108","52.35.108.244","TCP","55","60339  >  443 [ACK] Seq=1 Ack=1 Win=517 Len=1 [TCP segment of a reassembled PDU]"
"35","5.017698","192.168.0.108","224.0.0.22","IGMPv3","54","Membership Report / Join group 224.0.0.251 for any sources"
"36","5.170950","52.35.108.244","192.168.0.108","TCP","66","443  >  60339 [ACK] Seq=1 Ack=2 Win=425 Len=0 SLE=1 SRE=2"
"37","5.173021","TPLink_50:fe:5d","Intel_81:40:ca","ARP","60","Who has 192.168.0.108? Tell 192.168.0.1"
"38","5.173021","192.168.0.1","192.168.0.108","NBNS","92","Name query NBSTAT *<00><00><00><00><00><00><00><00><00><00><00><00><00><00><00>"
"39","5.173104","Intel_81:40:ca","TPLink_50:fe:5d","ARP","42","192.168.0.108 is at 08:9d:f4:81:40:ca"
"40","5.187810","192.168.0.126","224.0.0.22","IGMPv3","54","Membership Report / Join group 224.0.0.251 for any sources"
"41","5.193837","192.168.0.108","138.199.14.88","TCP","55","60233  >  443 [ACK] Seq=1 Ack=1 Win=64220 Len=1 [TCP segment of a reassembled PDU]"
"42","5.282628","138.199.14.88","192.168.0.108","TCP","54","443  >  60233 [ACK] Seq=0 Ack=2 Win=63452 Len=0"
"43","5.282809","192.168.0.108","138.199.14.88","TCP","54","[TCP Dup ACK 41#1] [TCP ACKed unseen segment] 60233  >  443 [ACK] Seq=2 Ack=1 Win=64220 Len=0"
"44","5.288112","TPLink_50:fe:5d","Intel_81:40:ca","ARP","60","Who has 192.168.0.108? Tell 192.168.0.1"
"45","5.288175","Intel_81:40:ca","TPLink_50:fe:5d","ARP","42","192.168.0.108 is at 08:9d:f4:81:40:ca"
"46","5.322379","192.168.0.1","192.168.0.108","NBNS","92","Name query NBSTAT *<00><00><00><00><00><00><00><00><00><00><00><00><00><00><00>"
"47","5.481194","192.168.0.102","224.0.0.22","IGMPv3","60","Membership Report / Join group 239.255.255.250 for any sources"
"48","5.836632","192.168.0.126","224.0.0.22","IGMPv3","54","Membership Report / Join group 224.77.77.77 for any sources"
"49","5.836632","fe80::5ee9:31ff:fe50:fe5d","ff02::1","ICMPv6","110","Router Advertisement from 5c:e9:31:50:fe:5d"
"50","6.227143","138.199.14.88","192.168.0.108","TCP","54","[TCP Previous segment not captured] 443  >  60233 [ACK] Seq=1 Ack=2 Win=63452 Len=0"
"51","6.861075","192.168.0.119","224.0.0.22","IGMPv3","54","Membership Report / Join group 239.255.255.250 for any sources"
"52","7.333504","192.168.0.108","52.88.172.69","TCP","55","60338  >  443 [ACK] Seq=1 Ack=1 Win=516 Len=1 [TCP segment of a reassembled PDU]"
"53","7.660841","192.168.0.126","224.0.0.22","IGMPv3","54","Membership Report / Join group 239.255.102.18 for any sources"
"54","7.670012","52.88.172.69","192.168.0.108","TCP","54","443  >  60338 [ACK] Seq=1 Ack=2 Win=110 Len=0"
"55","7.899613","fe80::5ee9:31ff:fe50:fe5d","ff02::1","ICMPv6","90","Multicast Listener Query"
"56","7.956638","fe80::b618:538:316c:256b","ff02::16","ICMPv6","190","Multicast Listener Report Message v2"
"57","8.024882","fe80::d5cb:38e:f15e:8f4","ff02::16","ICMPv6","190","Multicast Listener Report Message v2"
"58","8.397402","fe80::4dd:ccff:fe10:a79f","ff02::16","ICMPv6","190","Multicast Listener Report Message v2"
"59","8.397402","fe80::fc34:32ff:fee4:fafa","ff02::16","ICMPv6","110","Multicast Listener Report Message v2"
"60","8.809014","192.168.0.100","255.255.255.255","UDP","762","39768  >  29810 Len=720"
"61","9.421566","fe80::c1f:d7f9:bd3d:9b27","ff02::16","ICMPv6","170","Multicast Listener Report Message v2"
"62","10.247630","fe80::5ee9:31ff:fe50:fe5d","ff02::1","ICMPv6","110","Router Advertisement from 5c:e9:31:50:fe:5d"
"63","11.161656","TPLink_50:fe:5d","Intel_81:40:ca","ARP","60","Who has 192.168.0.108? Tell 192.168.0.1"
